p,ford,fI,fII
10008833641,4746,557,234
10008867961,5244,594,280
10008890761,3258,388,155
10008910921,4842,528,279
10008916681,4284,481,233
10008934321,4794,562,237
10008936001,3774,422,207
10008972481,3564,426,168
10008993289,3570,413,182
10009087201,3660,435,175
10009104169,4578,529,234
10009156081,5388,616,282
10009219609,4320,504,216
10009247161,4512,545,207
10009252969,4128,486,202
10009286281,4548,511,247
10009324081,3882,465,182
10009331809,4032,480,192
10009350121,3858,436,207
10009414801,4368,519,209
10009518289,4512,513,239
10009552081,4302,465,252
10009576201,4224,465,239
10009647649,4212,497,205
10009711321,5268,613,265
10009735849,3330,394,161
10009767769,3912,446,206
10009783081,3498,392,191
10009824841,4362,539,188
10009830601,3888,442,206
10009860169,4458,525,218
10009912441,4506,515,236
10009932409,4008,470,198
10009952401,4026,468,203
10009956049,4092,486,196
