p,ford,fI,fII
10001209,1416,166,70
10001401,1788,210,88
10001569,1428,158,80
10001881,1620,185,85
10003561,1908,206,112
10003681,1770,199,96
10003729,2088,244,104
10004521,2070,239,106
10005241,2196,252,114
10005361,1470,163,82
10005601,1320,151,69
10006201,1122,127,60
10008769,1158,134,59
10009609,1050,119,56
10009729,1716,206,80
10010281,1650,190,85
10010401,1812,201,101
10011121,1320,154,66
10011289,1866,217,94
10011961,1224,140,64
10012921,1278,148,65
10013761,1116,126,60
10014481,1752,196,96
10015009,1434,171,68
10015321,1896,201,115
10015609,1686,185,96
10016329,1836,224,82
10016521,1584,178,86
10017169,2196,247,119
10017289,1464,183,61
10017361,1542,173,84
10017529,1488,174,74
10017841,1236,131,75
10017961,2334,286,103
10018201,1758,207,86
10018969,1182,125,72
10019041,1740,215,75
10019689,1368,160,68
10020889,2022,229,108
10022041,1542,181,76
10022161,1530,174,81
10023001,1656,185,91
10023049,1086,122,59
10023889,1374,154,75
10024009,1806,204,97
10024249,1326,147,74
10025569,1746,208,83
10026241,1188,138,60
10026409,1752,182,110
10027081,1086,126,55
10027249,1812,192,110
10027921,1464,178,66
10028041,1398,155,78
10028209,1362,156,71
10028449,2028,247,91
10028881,1890,224,91
10029049,1716,200,86
10031809,2004,229,105
10032241,2124,251,103
10032481,1470,170,75
10033321,1302,148,69
10034161,1404,160,74
10034329,1698,205,78
10034809,1362,169,58
10034929,1392,174,58
10035169,1080,123,57
10035601,1710,191,94
10037449,2082,243,104
10038001,1536,174,82
10038841,1464,168,76
10039801,1344,145,79
10039969,1236,141,65
10040521,1488,172,76
10040689,1632,199,73
10040809,1584,175,89
10040881,1722,203,84
10041529,1776,218,78
10041649,1356,145,81
10042321,1374,166,63
10042489,1950,223,102
10043041,1428,180,58
10043329,1860,190,120
10043569,1884,204,110
10045081,1398,162,71
10046401,1374,145,84
10046689,1362,148,79
10047241,1344,167,57
10047769,1500,170,80
10048081,1320,148,72
10048249,1386,172,59
10049041,1392,164,68
10049449,1422,173,64
10049929,1962,219,108
10050049,1668,187,91
10050721,1656,184,92
10050769,1428,166,72
10050889,1536,183,73
10051441,798,90,43
10051729,1362,164,63
10051801,1728,192,96
10053289,1116,132,54
10053481,1698,180,103
10053649,1086,129,52
10053961,1338,150,73
10054321,2016,233,103
10054921,1650,192,83
10055329,1632,183,89
10056001,1344,170,54
10056601,1230,116,89
10056769,2196,252,114
10056841,1752,200,92
10057849,1890,227,88
10059001,1320,151,69
10059961,1914,206,113
10060009,1518,177,76
10060801,1506,172,79
10061041,1110,122,63
10061209,2106,250,101
10061881,1590,181,84
10062361,1446,155,86
