p,ford,fI,fII
1137529,990,104,61
1137889,720,73,47
1138369,882,93,54
1138729,918,106,47
1139041,642,75,32
1139329,984,111,53
1140721,954,105,54
1141009,876,107,39
1141081,1218,141,62
1141849,1146,132,59
1142569,972,95,67
1142929,1206,143,58
1143529,834,95,44
1143601,1146,130,61
1144081,798,82,51
1144249,1158,120,73
1144441,960,98,62
1145281,918,93,60
1146049,810,95,40
1147441,1020,111,59
1147561,1374,161,68
1147969,816,86,50
1149409,990,112,53
1150081,798,91,42
1150249,1206,134,67
1150489,1302,153,64
1150921,1056,121,55
1151089,846,103,38
1152649,768,87,41
1152841,1134,130,59
1153441,750,78,47
1153609,1368,159,69
1153681,738,83,40
1153849,1098,134,49
1154449,954,102,57
1155001,906,96,55
1155169,840,98,42
1155529,792,93,39
1155841,984,100,64
1155961,810,93,42
1156009,1212,148,54
1156369,906,98,53
1156681,984,115,49
1156801,876,103,43
1156849,876,97,49
1157209,618,69,34
1157641,978,112,51
1158361,672,65,47
1158481,750,79,46
1158529,876,108,38
1159201,672,78,34
1159489,900,92,58
1160041,1074,130,49
1160161,726,81,40
1160569,1014,114,55
1161001,1056,119,57
1161169,762,71,56
1161241,816,88,48
1161841,1326,146,75
1162009,852,91,51
1162081,1176,140,56
1162729,972,104,58
1163521,1320,154,66
1163689,1458,156,87
1164409,750,89,36
1165081,738,81,42
1165201,666,79,32
1165921,858,94,49
1166041,1092,121,61
1166089,882,107,40
1166929,708,71,47
1167289,1128,128,60
1167889,1194,133,66
1168969,1194,135,64
1169281,798,82,51
1169401,720,83,37
1169449,846,90,51
1169809,900,99,51
1170649,1008,115,53
1171801,804,92,42
1171921,684,76,38
1171969,1212,139,63
1172329,1152,126,66
1172929,1038,116,57
1173001,1014,114,55
1173481,750,77,48
1173841,1146,135,56
1174441,774,93,36
1174489,1104,120,64
1174681,624,63,41
1175521,720,88,32
1176121,1230,147,58
1176361,1110,133,52
1176529,1056,110,66
1177009,1140,124,66
1177129,1146,125,66
1177201,570,63,32
1177681,1224,149,55
1177801,972,99,63
1178041,930,99,56
1178521,1218,132,71
1178641,942,117,40
1178689,1092,119,63
1178809,774,88,41
1179649,714,76,43
1180369,978,108,55
1181209,1074,108,71
1181329,1308,161,57
1181881,990,122,43
1182889,1254,137,72
1183561,726,85,36
1183729,852,102,40
1185241,744,83,41
1185361,810,93,42
1185601,1176,125,71
1186249,738,77,46
1186441,936,114,42
1187089,996,103,63
1187761,918,99,54
1188049,1008,103,65
1188289,1098,127,56
1188601,1236,150,56
1188721,966,105,56
1188769,1284,142,72
1189801,1230,131,74
1190809,1050,110,65
1191409,1056,123,53
1191481,822,83,54
1192969,1176,132,64
1193161,1020,106,64
1193329,1392,157,75
1193761,1302,152,65
1194601,1080,118,62
1194769,972,115,47
1195489,852,94,48
1195681,840,92,48
1195849,1002,111,56
1196281,864,97,47
1196329,984,111,53
1196521,1194,128,71
1197121,852,94,48
1197289,978,116,47
1198201,690,85,30
1198849,1140,127,63
1199521,612,65,37
1199689,1050,124,51
1200361,1134,123,66
1200889,930,97,58
1201201,714,80,39
1201489,996,130,36
1201729,888,105,43
1202041,888,113,35
1202329,960,114,46
1202569,1086,128,53
1202881,528,67,21
1203841,570,66,29
1204561,852,103,39
1204681,1008,108,60
1204729,870,99,46
1205089,1086,109,72
1206529,732,72,50
1206769,1236,133,73
1207249,984,117,47
1207441,792,95,37
1208089,648,71,37
1208209,1002,110,57
1209121,708,72,46
1209889,1182,123,74
1210441,1188,145,53
1210609,690,75,40
1210801,1200,136,64
1211281,1152,129,63
1212121,894,101,48
1212241,1056,121,55
1212649,1128,132,56
1213081,924,108,46
1213129,612,71,31
1213801,912,91,61
1213921,858,90,53
1214641,1026,120,51
1215649,1140,125,65
1215769,744,84,40
1216009,1206,129,72
1216441,1008,117,51
1216489,1212,128,74
1216681,936,108,48
1216849,990,115,50
1217329,768,82,46
1217521,1422,155,82
1218121,978,108,55
1219129,1128,121,67
1219849,1080,111,69
1220041,738,83,40
1220689,1224,140,64
1221049,1026,121,50
1222561,894,102,47
1222729,876,103,43
1223161,948,108,50
1223329,1008,111,57
1223569,1086,114,67
1224169,846,93,48
1224889,984,106,58
1225009,816,97,39
1225729,1290,146,69
1225849,810,98,37
1227241,1260,148,62
1227769,684,80,34
1228441,1128,107,81
1229209,1014,125,44
1230769,852,103,39
1231129,642,63,44
1232401,684,78,36
1232809,1236,146,60
1233121,1104,125,59
1233241,798,89,44
1233409,1068,111,67
1234969,1026,105,66
1235761,912,100,52
1235929,864,97,47
1236481,750,83,42
1236769,840,100,40
1237441,1350,147,78
1237849,1416,156,80
1238449,1122,124,63
1238521,1398,160,73
1239001,918,102,51
1239361,1116,131,55
1239529,828,98,40
1239961,1158,127,66
1240009,942,116,41
1242361,624,73,31
1242889,1392,153,79
1243369,984,112,52
1244041,948,102,56
1244401,894,94,55
1245001,1020,110,60
1245169,1008,116,52
1245721,810,87,48
1246081,774,91,38
1246249,846,91,50
1246561,894,107,42
1247089,912,97,55
1247401,882,89,58
1247569,1008,116,52
1247761,888,101,47
1248241,762,81,46
1248529,972,111,51
1249201,1158,128,65
1249921,558,68,25
1250281,1002,120,47
1250449,1380,162,68
1250761,1062,118,59
1250929,762,86,41
1251121,660,79,31
1251721,942,107,50
1251961,954,100,59
1252129,1362,156,71
1252609,876,101,45
1252729,732,80,42
1253401,1170,147,48
1254241,960,108,52
1255081,1074,123,56
1255129,1272,139,73
1255249,1164,131,63
1255321,942,104,53
1255801,1002,116,51
1256161,1236,139,67
1256809,702,83,34
1258441,1188,132,66
1258681,888,102,46
1259329,978,116,47
1259689,1272,151,61
1260121,1062,120,57
1260169,1080,121,59
1260361,1140,125,65
1260841,1050,119,56
1261801,942,97,60
1261969,1062,121,56
1262881,1218,134,69
1264561,642,64,43
1265041,1002,119,48
1266241,1128,138,50
1266409,852,95,47
1266841,1098,127,56
1267009,1032,113,59
1267681,912,93,59
1268929,1008,106,62
1269241,660,79,31
1269529,1182,130,67
1269601,1026,114,57
1270201,1002,113,54
1270249,1200,144,56
1270441,1140,138,52
1270609,1206,130,71
1271089,1008,110,58
1271449,750,79,46
1271929,1548,183,75
1272049,756,78,48
1272289,1032,116,56
1272961,1110,132,53
1273561,900,101,49
1273609,930,107,48
1273729,966,110,51
1274401,1176,114,82
1275121,870,90,55
1276129,1254,145,64
1276969,840,89,51
1277761,738,74,49
1278481,582,66,31
1278601,954,107,52
1278769,1668,195,83
1279321,1074,125,54
1279609,966,114,47
1280161,882,101,46
1280281,1068,138,40
1281961,1062,114,63
1282009,672,76,36
1282201,1200,131,69
1282681,1032,125,47
1282969,960,96,64
1283521,882,96,51
1283881,762,80,47
1284889,840,97,43
1286209,762,90,37
1286569,864,96,48
1286881,1164,134,60
1287841,744,77,47
1288009,1212,145,57
1288249,1032,115,57
1288849,1050,106,69
1288921,1176,130,66
1289401,690,72,43
1291249,948,116,42
1291369,1056,117,59
1292089,1026,110,61
1292281,828,92,46
1293961,984,119,45
1294129,1020,113,57
1294561,912,105,47
1294609,840,92,48
1294729,1170,136,59
1295809,696,85,31
1296409,876,97,49
1296481,780,81,49
1296649,816,91,45
1297129,1266,143,68
1297249,1272,158,54
1298161,1026,120,51
1298329,1194,129,70
1298641,1074,114,65
1298809,1158,129,64
1299169,930,103,52
1299601,630,70,35
1299841,900,99,51
1300609,942,105,52
1300681,1212,145,57
1301281,732,80,42
1302121,1164,126,68
1302841,702,71,46
1303009,1200,140,60
1303129,1242,149,58
1304209,690,84,31
1306489,1254,139,70
1307161,1200,138,62
1307209,1158,140,53
1308049,1260,137,73
1308841,912,103,49
1309249,1698,205,78
1309849,1194,133,66
1309921,1134,123,66
1311241,1218,138,65
1311769,1092,128,54
1312921,792,99,33
1313041,1122,129,58
1313449,948,104,54
1313761,894,102,47
1313881,972,101,61
1313929,1110,121,64
1314601,1080,117,63
1314769,858,88,55
1315441,918,97,56
1315729,948,106,52
1315801,828,96,42
1315969,798,95,38
1316401,852,103,39
1317409,1302,158,59
1317961,1044,109,65
1318249,948,95,63
1318489,984,115,49
1321681,768,89,39
1322161,984,106,58
1322281,912,88,64
1322329,876,103,43
1322449,1596,181,85
1322521,1080,114,66
1322689,726,82,39
1323001,1140,130,60
1323169,654,67,42
1323529,1080,120,60
1324201,1368,154,74
1324369,1230,140,65
